W,R
0.289048656,0.999053423
0.295320874,0.999043208
0.301729196,0.999032883
0.308276575,0.999022446
0.31496603,0.999011897
0.321800642,0.999001234
0.328783563,0.998990455
0.335918009,0.998979561
0.343207269,0.998968549
0.350654703,0.998957418
0.358263743,0.998946167
0.366037895,0.998934794
0.373980743,0.998923299
0.382095946,0.99891168
0.390387246,0.998899935
0.398858463,0.998888064
0.407513501,0.998876064
0.416356349,0.998863935
0.425391083,0.998851675
0.434621866,0.998839283
0.444052953,0.998826757
0.45368869,0.998814096
0.463533518,0.998801299
0.473591974,0.998788363
0.483868694,0.998775287
0.494368414,0.998762071
0.505095972,0.998748712
0.516056314,0.998735208
0.527254489,0.998721559
0.53869566,0.998707763
0.550385098,0.998693818
0.562328192,0.998679722
0.574530446,0.998665474
0.586997482,0.998651073
0.599735047,0.998636516
0.612749011,0.998621802
0.626045372,0.998606929
0.639630258,0.998591895
0.653509929,0.9985767
0.667690782,0.99856134
0.682179353,0.998545815
0.69698232,0.998530122
0.712106503,0.99851426
0.727558874,0.998498226
0.743346554,0.99848202
0.75947682,0.998465638
0.775957104,0.99844908
0.792795003,0.998432344
0.809998276,0.998415426
0.827574852,0.998398326
0.845532831,0.998381042
0.863880489,0.998363571
0.882626283,0.998345911
0.901778852,0.998328061
0.921347023,0.998310018
0.941339813,0.998291781
0.961766438,0.998273346
0.98263631,0.998254713
1.003959049,0.998235879
1.025744481,0.998216841
1.048002646,0.998197598
1.070743803,0.998178147
1.093978433,0.998158487
1.117717242,0.998138614
1.141971173,0.998118527
1.166751402,0.998098223
1.19206935,0.9980777
1.217936686,0.998056955
1.24436533,0.998035987
1.271367464,0.998014792
1.298955531,0.997993369
1.327142246,0.997971714
1.355940599,0.997949826
1.385363862,0.997927701
1.415425596,0.997905338
1.446139656,0.997882733
1.477520196,0.997859885
1.509581679,0.99783679
1.54233888,0.997813445
1.575806898,0.997789849
1.610001155,0.997765998
1.644937411,0.99774189
1.680631767,0.997717521
1.717100674,0.99769289
1.754360939,0.997667993
1.792429734,0.997642827
1.831324603,0.997617389
1.871063472,0.997591677
1.911664656,0.997565688
1.953146867,0.997539418
1.995529221,0.997512864
2.038831252,0.997486024
2.083072917,0.997458895
2.128274604,0.997431472
2.174457147,0.997403754
2.221641829,0.997375736
2.269850396,0.997347416
2.319105066,0.997318791
2.369428538,0.997289857
2.420844006,0.99726061
2.473375165,0.997231048
2.527046225,0.997201167
2.581881921,0.997170963
2.637907526,0.997140433
2.69514886,0.997109574
2.753632303,0.997078382
2.81338481,0.997046853
2.874433916,0.997014984
2.93680776,0.996982771
3.000535086,0.996950211
3.065645265,0.996917299
3.132168303,0.996884032
3.20013486,0.996850406
3.269576258,0.996816417
3.340524502,0.996782061
3.413012288,0.996747335
3.487073025,0.996712233
3.562740845,0.996676753
3.64005062,0.99664089
3.71903798,0.996604641
3.799739328,0.996567999
3.882191858,0.996530963
3.966433567,0.996493527
4.052503282,0.996455686
4.140440668,0.996417438
4.230286253,0.996378776
4.322081445,0.996339698
4.415868548,0.996300198
4.511690787,0.996260271
4.609592323,0.996219914
4.709618276,0.996179121
4.811814743,0.996137888
4.916228826,0.99609621
5.022908644,0.996054082
5.131903363,0.996011499
5.243263215,0.995968457
5.357039523,0.995924951
5.473284723,0.995880975
5.592052388,0.995836524
5.713397255,0.995791594
5.837375247,0.995746179
5.964043502,0.995700273
6.093460399,0.995653873
6.22568558,0.995606971
6.360779984,0.995559564
6.498805872,0.995511645
6.639826857,0.995463208
6.783907929,0.995414249
6.931115492,0.995364762
7.081517388,0.995314741
7.235182934,0.99526418
7.392182949,0.995213073
7.552589789,0.995161415
7.716477381,0.995109199
7.883921256,0.99505642
8.054998583,0.995003071
8.229788206,0.994949146
8.40837068,0.99489464
8.590828309,0.994839545
8.777245181,0.994783856
8.96770721,0.994727566
9.162302175,0.994670668
9.361119757,0.994613157
9.564251586,0.994555024
9.771791278,0.994496265
9.983834483,0.994436871
10.20047892,0.994376836
10.42182445,0.994316154
10.64797306,0.994254816
10.87902899,0.994192817
11.11509873,0.994130148
11.35629106,0.994066804
11.60271715,0.994002775
11.85449058,0.993938056
12.11172736,0.993872639
12.37454606,0.993806515
12.6430678,0.993739678
12.91741634,0.993672119
13.1977181,0.993603832
13.48410228,0.993534807
13.77670086,0.993465038
14.07564869,0.993394516
14.38108355,0.993323232
14.6931462,0.99325118
15.01198045,0.99317835
15.33773326,0.993104734
15.67055475,0.993030323
16.0105983,0.99295511
16.35802064,0.992879085
16.71298188,0.992802239
17.07564561,0.992724564
17.44617896,0.992646051
17.82475271,0.992566691
18.21154134,0.992486474
18.60672309,0.992405391
19.01048009,0.992323434
19.42299844,0.992240592
19.84446823,0.992156856
20.27508371,0.992072216
20.71504335,0.991986664
21.1645499,0.991900187
21.62381052,0.991812778
22.09303689,0.991724425
22.57244524,0.991635119
23.06225652,0.991544849
23.56269647,0.991453605
24.07399574,0.991361377
24.59638995,0.991268153
25.13011987,0.991173923
25.67543147,0.991078676
26.23257607,0.990982401
26.80181045,0.990885087
27.38339693,0.990786723
27.97760357,0.990687298
28.58470421,0.9905868
29.20497864,0.990485217
29.83871273,0.990382538
30.48619855,0.99027875
31.1477345,0.990173843
31.82362547,0.990067804
32.51418295,0.98996062
33.21972519,0.98985228
33.94057737,0.989742771
34.67707169,0.989632079
35.42954759,0.989520194
36.19835185,0.9894071
36.9838388,0.989292787
37.78637044,0.98917724
38.60631664,0.989060445
39.44405528,0.988942391
40.29997244,0.988823062
41.1744626,0.988702446
42.06792878,0.988580528
42.98078274,0.988457294
43.91344521,0.988332731
44.866346,0.988206823
45.83992428,0.988079557
46.83462875,0.987950917
47.85091783,0.987820889
48.8892599,0.987689458
49.9501335,0.987556608
51.03402754,0.987422325
52.14144157,0.987286592
53.27288596,0.987149395
54.42888214,0.987010717
55.6099629,0.986870543
56.81667254,0.986728856
58.0495672,0.98658564
59.30921509,0.986440879
60.59619674,0.986294555
61.91110527,0.986146652
63.2545467,0.985997153
64.62714016,0.985846041
66.02951824,0.985693298
67.46232725,0.985538907
68.92622754,0.98538285
70.42189377,0.985225108
71.95001524,0.985065665
73.51129621,0.9849045
75.10645624,0.984741597
76.73623047,0.984576935
78.40137003,0.984410497
80.10264233,0.984242262
81.84083142,0.984072212
83.61673838,0.983900327
85.43118168,0.983726586
87.28499753,0.983550971
89.17904029,0.983373461
91.11418289,0.983194035
93.09131715,0.983012673
95.11135428,0.982829354
97.17522525,0.982644056
99.28388124,0.982456759
101.4382941,0.982267441
103.6394566,0.982076079
105.8883833,0.981882653
108.1861107,0.981687139
110.5336976,0.981489515
112.9322261,0.981289758
115.3828015,0.981087846
117.8865532,0.980883755
120.4446351,0.980677461
123.0582261,0.980468942
125.7285309,0.980258171
128.45678,0.980045127
131.2442308,0.979829783
134.0921679,0.979612116
137.0019039,0.979392099
139.9747798,0.979169708
143.0121657,0.978944918
146.1154614,0.978717701
149.2860971,0.978488032
152.5255342,0.978255885
155.8352654,0.978021233
159.2168163,0.977784048
162.6717452,0.977544304
166.2016444,0.977301973
169.8081407,0.977057026
173.4928962,0.976809436
177.2576093,0.976559175
181.1040147,0.976306212
185.0338854,0.97605052
189.0490323,0.975792068
193.1513061,0.975530828
197.3425972,0.975266768
201.6248373,0.974999858
206,0.974730068
208.29546,0.97459
210.22413,0.98214
212.15279,0.97619
214.08145,0.96858
216.01011,0.97686
217.93877,0.98836
219.86743,0.9828
221.7961,0.96922
223.72476,0.96273
225.65342,0.96163
227.58208,0.9637
229.51074,0.96869
231.4394,0.9741
233.36807,0.97992
235.29673,0.98549
237.22539,0.98283
239.15405,0.97252
241.08271,0.96848
243.01137,0.97057
244.94004,0.97337
246.8687,0.97655
248.79736,0.97816
250.72602,0.98136
252.65468,0.9845
254.58334,0.97958
256.51201,0.9731
258.44067,0.97748
260.36933,0.98573
262.29799,0.98308
264.22665,0.97396
266.15532,0.97037
268.08398,0.97109
270.01264,0.96919
271.9413,0.96344
273.86996,0.95963
275.79862,0.9637
277.72729,0.96959
279.65595,0.97035
281.58461,0.97113
283.51327,0.97292
285.44193,0.97043
287.37059,0.96624
289.29926,0.96972
291.22792,0.98273
293.15658,0.99286
295.08524,0.99069
297.0139,0.98064
298.94256,0.97624
300.87123,0.98488
302.79989,0.99194
304.72855,0.98704
306.65721,0.98327
308.58587,0.98546
310.51453,0.98683
312.4432,0.9866
314.37186,0.9839
316.30052,0.97831
318.22918,0.97389
320.15784,0.97294
322.0865,0.97542
324.01517,0.97772
325.94383,0.97649
327.87249,0.97467
329.80115,0.97303
331.72981,0.96914
333.65847,0.96433
335.58714,0.96117
337.5158,0.96114
339.44446,0.96401
341.37312,0.96743
343.30178,0.9698
345.23045,0.9718
347.15911,0.97409
349.08777,0.97548
351.01643,0.97527
352.94509,0.97412
354.87375,0.9715
356.80242,0.96795
358.73108,0.96695
