,W,R
301,6.401478830715524e-05,0.9999859132563342
302,6.54038786465028e-05,0.9999857612387799
303,6.682311158292696e-05,0.9999856075807231
304,6.827314119639083e-05,0.9999854522644605
305,6.9754635760081e-05,0.9999852952720971
306,7.126827804839291e-05,0.9999851365855457
307,7.281476565160041e-05,0.9999849761865232
308,7.439481129735329e-05,0.9999848140565493
309,7.600914317915047e-05,0.9999846501769445
310,7.765850529194311e-05,0.9999844845288277
311,7.93436577750165e-05,0.9999843170931138
312,8.106537726231606e-05,0.9999841478505118
313,8.282445724037298e-05,0.9999839767815228
314,8.462170841399667e-05,0.9999838038664373
315,8.645795907990495e-05,0.999983629085333
316,8.833405550845769e-05,0.9999834524180726
317,9.025086233367819e-05,0.9999832738443017
318,9.220926295173523e-05,0.9999830933434463
319,9.421015992807181e-05,0.9999829108947098
320,9.625447541337149e-05,0.9999827264770719
321,9.834315156854591e-05,0.999982540069285
322,0.00010047715099894946,0.9999823516498725
323,0.00010265745719801282,0.9999821611971256
324,0.00010488507500050466,0.9999819686891017
325,0.00010716103104562797,0.9999817741036212
326,0.00010948637425016656,0.9999815774182651
327,0.00011186217629189759,0.9999813786103726
328,0.00011428953210349393,0.9999811776570382
329,0.00011676956037714498,0.9999809745351094
330,0.00011930340408012643,0.9999807692211836
331,0.00012189223098155779,0.9999805616916059
332,0.00012453723419059119,0.9999803519224659
333,0.00012723963270627763,0.9999801398895954
334,0.00013000067197936515,0.9999799255685653
335,0.00013282162448628862,0.9999797089346828
336,0.00013570379031561396,0.9999794899629887
337,0.00013864849776720783,0.9999792686282544
338,0.00014165710396441022,0.999979044904979
339,0.00014473099547948908,0.9999788187673867
340,0.00014787158897266883,0.9999785901894231
341,0.00015108033184502444,0.999978359144753
342,0.00015435870290554248,0.9999781256067567
343,0.00015770821305265893,0.9999778895485276
344,0.00016113040597058443,0.9999776509428683
345,0.00016462685884073932,0.9999774097622883
346,0.00016819918306862816,0.9999771659790002
347,0.0001718490250264856,0.9999769195649167
